BLAST file	CP066953.1:1086813-1087433 Xanthomonas campestris pv. campestris strain 10103 chromosome, complete genome
./genomes/xopG2.versus.10006.fasta.blastn	0
./genomes/xopG2.versus.10008.fasta.blastn	0
./genomes/xopG2.versus.10090.fasta.blastn	0
./genomes/xopG2.versus.10103.fasta.blastn	1
./genomes/xopG2.versus.10108.fasta.blastn	0
./genomes/xopG2.versus.10213.fasta.blastn	0
./genomes/xopG2.versus.10215A.fasta.blastn	0
./genomes/xopG2.versus.10217A.fasta.blastn	0
./genomes/xopG2.versus.11085.fasta.blastn	1
./genomes/xopG2.versus.12049.fasta.blastn	1
./genomes/xopG2.versus.12112.fasta.blastn	1
./genomes/xopG2.versus.13108G.fasta.blastn	0
./genomes/xopG2.versus.147.fasta.blastn	0
./genomes/xopG2.versus.17.fasta.blastn	0
./genomes/xopG2.versus.33-1.fasta.blastn	0
./genomes/xopG2.versus.33-2.fasta.blastn	0
./genomes/xopG2.versus.33-4.fasta.blastn	0
./genomes/xopG2.versus.33-5.fasta.blastn	0
./genomes/xopG2.versus.3811.fasta.blastn	0
./genomes/xopG2.versus.39-3.fasta.blastn	0
./genomes/xopG2.versus.3977A.fasta.blastn	0
./genomes/xopG2.versus.40-2.fasta.blastn	0
./genomes/xopG2.versus.419.fasta.blastn	0
./genomes/xopG2.versus.42-1.fasta.blastn	0
./genomes/xopG2.versus.42-2.fasta.blastn	0
./genomes/xopG2.versus.42-3.fasta.blastn	0
./genomes/xopG2.versus.42-4.fasta.blastn	0
./genomes/xopG2.versus.45672.fasta.blastn	0
./genomes/xopG2.versus.45685.fasta.blastn	0
./genomes/xopG2.versus.45687.fasta.blastn	0
./genomes/xopG2.versus.45772.fasta.blastn	0
./genomes/xopG2.versus.45806.fasta.blastn	0
./genomes/xopG2.versus.45835.fasta.blastn	0
./genomes/xopG2.versus.45837.fasta.blastn	0
./genomes/xopG2.versus.45927.fasta.blastn	0
./genomes/xopG2.versus.45957.fasta.blastn	0
./genomes/xopG2.versus.474.fasta.blastn	1
./genomes/xopG2.versus.483.fasta.blastn	0
./genomes/xopG2.versus.54-2.fasta.blastn	0
./genomes/xopG2.versus.54-3.fasta.blastn	0
./genomes/xopG2.versus.5495.fasta.blastn	0
./genomes/xopG2.versus.5498.fasta.blastn	0
./genomes/xopG2.versus.5499.fasta.blastn	0
./genomes/xopG2.versus.55-1.fasta.blastn	0
./genomes/xopG2.versus.55-2.fasta.blastn	0
./genomes/xopG2.versus.5582.fasta.blastn	0
./genomes/xopG2.versus.5583.fasta.blastn	0
./genomes/xopG2.versus.5585.fasta.blastn	0
./genomes/xopG2.versus.5586.fasta.blastn	0
./genomes/xopG2.versus.5587.fasta.blastn	0
./genomes/xopG2.versus.5588.fasta.blastn	0
./genomes/xopG2.versus.5589.fasta.blastn	0
./genomes/xopG2.versus.5591.fasta.blastn	0
./genomes/xopG2.versus.5592.fasta.blastn	0
./genomes/xopG2.versus.5594.fasta.blastn	0
./genomes/xopG2.versus.5610.fasta.blastn	1
./genomes/xopG2.versus.5630.fasta.blastn	1
./genomes/xopG2.versus.5631.fasta.blastn	1
./genomes/xopG2.versus.5651.fasta.blastn	0
./genomes/xopG2.versus.5655.fasta.blastn	0
./genomes/xopG2.versus.5714B.fasta.blastn	0
./genomes/xopG2.versus.5715A.fasta.blastn	0
./genomes/xopG2.versus.5732.fasta.blastn	0
./genomes/xopG2.versus.5733.fasta.blastn	0
./genomes/xopG2.versus.5734.fasta.blastn	0
./genomes/xopG2.versus.5735.fasta.blastn	0
./genomes/xopG2.versus.5736.fasta.blastn	0
./genomes/xopG2.versus.5737.fasta.blastn	1
./genomes/xopG2.versus.5739.fasta.blastn	1
./genomes/xopG2.versus.5740.fasta.blastn	0
./genomes/xopG2.versus.5741.fasta.blastn	0
./genomes/xopG2.versus.5742.fasta.blastn	0
./genomes/xopG2.versus.5743.fasta.blastn	0
./genomes/xopG2.versus.5744.fasta.blastn	0
./genomes/xopG2.versus.5745.fasta.blastn	0
./genomes/xopG2.versus.5746.fasta.blastn	0
./genomes/xopG2.versus.5771.fasta.blastn	0
./genomes/xopG2.versus.5772.fasta.blastn	0
./genomes/xopG2.versus.5773.fasta.blastn	0
./genomes/xopG2.versus.5778.fasta.blastn	0
./genomes/xopG2.versus.5779.fasta.blastn	0
./genomes/xopG2.versus.5780.fasta.blastn	0
./genomes/xopG2.versus.5783.fasta.blastn	1
./genomes/xopG2.versus.5784.fasta.blastn	1
./genomes/xopG2.versus.5789.fasta.blastn	0
./genomes/xopG2.versus.5791.fasta.blastn	0
./genomes/xopG2.versus.5792.fasta.blastn	0
./genomes/xopG2.versus.5796.fasta.blastn	0
./genomes/xopG2.versus.5800.fasta.blastn	0
./genomes/xopG2.versus.5802.fasta.blastn	1
./genomes/xopG2.versus.5804.fasta.blastn	0
./genomes/xopG2.versus.5806.fasta.blastn	0
./genomes/xopG2.versus.5808.fasta.blastn	0
./genomes/xopG2.versus.5811A.fasta.blastn	0
./genomes/xopG2.versus.5811B.fasta.blastn	0
./genomes/xopG2.versus.5814.fasta.blastn	0
./genomes/xopG2.versus.5816.fasta.blastn	0
./genomes/xopG2.versus.5819.fasta.blastn	0
./genomes/xopG2.versus.5821.fasta.blastn	0
./genomes/xopG2.versus.6018A.fasta.blastn	1
./genomes/xopG2.versus.6019A.fasta.blastn	0
./genomes/xopG2.versus.6019C.fasta.blastn	0
./genomes/xopG2.versus.6020A.fasta.blastn	0
./genomes/xopG2.versus.6023A.fasta.blastn	0
./genomes/xopG2.versus.6181Rx.fasta.blastn	0
./genomes/xopG2.versus.6195Rx.fasta.blastn	0
./genomes/xopG2.versus.6198.fasta.blastn	0
./genomes/xopG2.versus.6290.fasta.blastn	0
./genomes/xopG2.versus.6413.fasta.blastn	0
./genomes/xopG2.versus.6414.fasta.blastn	0
./genomes/xopG2.versus.659.fasta.blastn	0
./genomes/xopG2.versus.66-2.fasta.blastn	0
./genomes/xopG2.versus.7073.fasta.blastn	0
./genomes/xopG2.versus.792.fasta.blastn	0
./genomes/xopG2.versus.793.fasta.blastn	0
./genomes/xopG2.versus.8004.fasta.blastn	0
